Day,Day_month,Month,Year,TSVALUE_UPDATED
09,09-Mar,Mar,1967,0
10,10-Mar,Mar,1967,18
11,11-Mar,Mar,1967,0
12,12-Mar,Mar,1967,0
13,13-Mar,Mar,1967,0
14,14-Mar,Mar,1967,0
15,15-Mar,Mar,1967,35
16,16-Mar,Mar,1967,0
17,17-Mar,Mar,1967,8
18,18-Mar,Mar,1967,0
19,19-Mar,Mar,1967,0
20,20-Mar,Mar,1967,15
21,21-Mar,Mar,1967,5
22,22-Mar,Mar,1967,0
23,23-Mar,Mar,1967,0
24,24-Mar,Mar,1967,0
25,25-Mar,Mar,1967,0
26,26-Mar,Mar,1967,2
27,27-Mar,Mar,1967,0
28,28-Mar,Mar,1967,0
29,29-Mar,Mar,1967,0
30,30-Mar,Mar,1967,0
31,31-Mar,Mar,1967,0
01,01-Apr,Apr,1967,0
02,02-Apr,Apr,1967,0
03,03-Apr,Apr,1967,0
04,04-Apr,Apr,1967,0
05,05-Apr,Apr,1967,0
06,06-Apr,Apr,1967,0
07,07-Apr,Apr,1967,0
08,08-Apr,Apr,1967,0
09,09-Apr,Apr,1967,0
10,10-Apr,Apr,1967,0
11,11-Apr,Apr,1967,0
